,city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ostrovnoy,68.0531,39.5131,9.8,68,88,8.85,RU,1627219717
1,mahebourg,-20.4081,57.7,23.16,64,40,5.14,MU,1627219886
2,qaanaaq,77.484,-69.3632,4.13,70,77,3.22,GL,1627219887
3,zhuhai,22.2769,113.5678,31.09,84,20,4.63,CN,1627219736
4,cape town,-33.9258,18.4232,23.23,12,0,2.57,ZA,1627219601
5,atuona,-9.8,-139.0333,25.36,70,36,9.97,PF,1627219889
6,flinders,-34.5833,150.8552,11.88,58,100,9.39,AU,1627219890
7,opuwo,-18.0607,13.84,26.5,16,0,6.15,NA,1627219748
8,tiksi,71.6872,128.8694,8.26,76,83,1.29,RU,1627219891
9,pushkinskiye gory,57.0209,28.9103,26.04,33,36,1.08,RU,1627219892
10,aykhal,66.0,111.5,23.23,53,99,4.06,RU,1627219893
11,castro,-24.7911,-50.0119,19.63,42,0,4.49,BR,1627219893
12,avarua,-21.2078,-159.775,24.03,83,90,4.12,CK,1627219695
13,saskylakh,71.9167,114.0833,16.91,56,73,3.51,RU,1627219895
14,constitucion,-35.3333,-72.4167,11.18,92,75,7.33,CL,1627219896
15,albany,42.6001,-73.9662,21.32,93,98,0.45,US,1627219772
16,vilyuysk,63.7553,121.6247,17.6,57,0,1.98,RU,1627219897
17,ushuaia,-54.8,-68.3,3.81,81,40,3.6,AR,1627219898
18,bambous virieux,-20.3428,57.7575,23.14,64,40,5.14,MU,1627219898
19,kodinsk,58.6881,99.1844,22.12,58,63,1.76,RU,1627219899
20,teknaf,20.8624,92.3058,27.14,90,100,3.23,BD,1627219900
21,busselton,-33.65,115.3333,14.49,67,4,8.25,AU,1627219901
22,ambon,-3.6954,128.1814,26.08,89,40,2.06,ID,1627219902
23,maragogi,-9.0122,-35.2225,25.31,78,14,6.36,BR,1627219694
24,fallon,39.4735,-118.7774,25.81,28,90,4.12,US,1627219903
25,kantang,7.4054,99.5156,27.05,94,20,1.03,TH,1627219904
26,colonelganj,27.1333,81.7,32.24,63,89,3.58,IN,1627219738
27,punta arenas,-53.15,-70.9167,2.06,87,90,4.12,CL,1627219743
28,rikitea,-23.1203,-134.9692,21.19,64,92,1.66,PF,1627219906
29,new norfolk,-42.7826,147.0587,5.37,54,98,4.24,AU,1627219688
30,gobabis,-22.45,18.9667,20.05,25,0,6.12,NA,1627219907
31,qingdao,36.0986,120.3719,27.78,74,0,2.0,CN,1627219908
32,port hardy,50.6996,-127.4199,11.1,100,75,1.03,CA,1627219908
33,arman,59.7,150.1667,11.37,99,100,3.14,RU,1627219909
34,mamakan,57.8161,114.0028,17.72,69,42,1.58,RU,1627219910
35,bethel,41.3712,-73.414,21.06,89,90,0.45,US,1627219911
36,clinton,42.587,-82.9199,25.46,92,20,1.34,US,1627219911
37,varhaug,58.6147,5.6457,26.59,66,100,1.03,NO,1627219912
38,ayan,56.45,138.1667,14.53,97,100,1.05,RU,1627219913
39,mayor pablo lagerenza,-19.9309,-60.7718,31.59,28,0,8.31,PY,1627219914
40,hermanus,-34.4187,19.2345,17.79,56,100,1.33,ZA,1627219914
41,torbay,47.6666,-52.7314,17.16,90,90,3.09,CA,1627219915
42,yellowknife,62.456,-114.3525,12.38,76,20,2.06,CA,1627219815
43,kruisfontein,-34.0033,24.7314,20.44,28,38,2.01,ZA,1627219917
44,puerto ayora,-0.7393,-90.3518,21.97,88,33,3.13,EC,1627219917
45,rosita,13.9268,-84.4032,26.28,82,91,1.36,NI,1627219918
46,beloha,-25.1667,45.05,18.14,61,26,6.61,MG,1627219919
47,port elizabeth,-33.918,25.5701,23.16,27,0,1.54,ZA,1627219920
48,port alfred,-33.5906,26.891,20.96,37,47,2.68,ZA,1627219920
49,garchitorena,13.8804,123.6946,26.97,87,67,3.11,PH,1627219921
50,kodiak,57.79,-152.4072,8.15,98,70,0.88,US,1627219922
51,mar del plata,-38.0023,-57.5575,13.38,65,90,1.79,AR,1627219800
52,taybad,34.74,60.7756,37.43,9,0,12.76,IR,1627219923
53,cabo san lucas,22.8909,-109.9124,28.78,75,1,1.79,MX,1627219924
54,tiarei,-17.5333,-149.3333,22.01,68,3,3.92,PF,1627219925
55,khatanga,71.9667,102.5,14.14,68,16,3.98,RU,1627219926
56,pisco,-13.7,-76.2167,17.23,82,90,2.06,PE,1627219927
57,kolyvan,55.3053,82.7391,26.14,81,30,2.79,RU,1627219928
58,hofn,64.2539,-15.2082,13.01,76,20,6.17,IS,1627219929
59,bontang,0.1333,117.5,25.95,85,14,3.89,ID,1627219930
60,sault sainte marie,46.5168,-84.3333,19.16,84,1,3.6,CA,1627219874
61,zhigansk,66.7697,123.3711,15.22,55,62,1.38,RU,1627219932
62,thompson,55.7435,-97.8558,9.09,87,20,3.09,CA,1627219933
63,pevek,69.7008,170.3133,1.45,92,100,4.99,RU,1627219934
64,nanortalik,60.1432,-45.2371,7.06,79,100,5.45,GL,1627219695
65,bilibino,68.0546,166.4372,4.94,86,6,2.51,RU,1627219935
66,dikson,73.5069,80.5464,4.24,87,9,2.89,RU,1627219713
67,hambantota,6.1241,81.1185,29.19,79,75,6.17,LK,1627219937
68,beja,36.7256,9.1817,44.36,8,70,0.74,TN,1627219937
69,fortuna,40.5982,-124.1573,12.74,94,90,0.0,US,1627219938
70,ponta do sol,32.6667,-17.1,28.17,69,3,0.56,PT,1627219696
71,qasigiannguit,68.8193,-51.1922,7.14,60,67,3.18,GL,1627219940
72,butaritari,3.0707,172.7902,27.69,78,10,4.8,KI,1627219940
73,virginia beach,36.8529,-75.978,27.04,71,40,5.66,US,1627219821
74,hobyo,5.3505,48.5268,25.76,70,88,11.78,SO,1627219942
75,saint george,37.1041,-113.5841,24.64,71,1,1.34,US,1627219713
76,pontes e lacerda,-15.2261,-59.3353,32.06,27,0,2.67,BR,1627219943
77,khor,47.8861,134.9464,24.49,81,100,1.87,RU,1627219944
78,crotone,39.0851,17.1178,32.97,31,0,4.12,IT,1627219944
79,baglung,28.2719,83.5898,23.54,97,100,0.77,NP,1627219945
80,raglan,-37.8,174.8833,13.51,84,100,5.96,NZ,1627219946
81,jamestown,42.097,-79.2353,22.88,98,97,1.95,US,1627219661
82,sur,22.5667,59.5289,33.61,59,36,2.3,OM,1627219947
83,araouane,18.9048,-3.5265,40.74,20,98,4.23,ML,1627219948
84,emerald,-23.5333,148.1667,13.08,45,57,1.54,AU,1627219949
85,launceston,-41.45,147.1667,6.56,84,40,1.34,AU,1627219950
86,nikolskoye,59.7035,30.7861,24.66,41,84,3.38,RU,1627219950
87,ambilobe,-13.2,49.05,24.28,58,94,1.18,MG,1627219951
88,cidreira,-30.1811,-50.2056,21.39,56,17,2.55,BR,1627219952
89,ternate,0.8,127.4,27.54,79,100,3.62,ID,1627219953
90,tarauaca,-8.1614,-70.7656,29.06,53,46,0.27,BR,1627219953
91,bella vista,36.4295,-94.2316,26.5,93,90,2.68,US,1627219954
92,xichang,27.8964,102.2634,19.61,88,13,1.53,CN,1627219955
93,antioch,36.2066,36.1572,34.9,38,0,5.56,TR,1627219956
94,najran,17.4924,44.1277,37.36,16,100,9.1,SA,1627219956
95,agirish,61.9247,63.0231,12.84,56,50,4.46,RU,1627219957
96,mataura,-46.1927,168.8643,6.66,88,100,2.26,NZ,1627219958
97,katsuura,35.1333,140.3,27.84,85,5,4.83,JP,1627219747
98,shalinskoye,55.7228,93.7594,18.76,85,4,1.64,RU,1627219959
99,barrow,71.2906,-156.7887,5.01,96,90,3.09,US,1627219803
100,sorong,-0.8833,131.25,25.39,82,100,3.7,ID,1627219961
101,kingston,17.997,-76.7936,29.56,74,20,0.89,JM,1627219961
102,ketchikan,55.3422,-131.6461,11.26,93,90,1.54,US,1627219898
103,kapaa,22.0752,-159.319,26.99,85,75,1.79,US,1627219963
104,mbigou,-1.9005,11.906,28.31,45,74,2.58,GA,1627219963
105,yakeshi,49.2833,120.7333,14.06,89,1,0.24,CN,1627219964
106,hilo,19.7297,-155.09,23.78,97,90,3.09,US,1627219965
107,whitehorse,60.7161,-135.0538,6.43,81,40,1.54,CA,1627219818
108,bonthe,7.5264,-12.505,27.04,73,98,4.71,SL,1627219966
109,bara,10.3744,10.7288,30.88,59,99,2.8,NG,1627219967
110,lompoc,34.6391,-120.4579,15.87,90,90,0.45,US,1627219674
111,port blair,11.6667,92.75,27.82,84,100,8.42,IN,1627219968
112,bredasdorp,-34.5322,20.0403,21.62,37,100,1.54,ZA,1627219969
113,thinadhoo,0.5333,72.9333,27.84,71,65,2.71,MV,1627219970
